titel,datum,tijd,omschrijving,tags,sprekers,scope,contactpersoon,hybride,locatie,digitale link,registratie,bedrijf,sessieserie,doelgroep,voorbereiding,taal,materialen,starttijd,eindtijd
Architectuur Gilde Sessie II,25-07-23,17.00-20.30,"Ecosysteemjournaal

 – berichten vanuit het Conclusion ecosysteem – pilots, PoCs, nieuwe projecten, vragen/uitdagingen/resultaten, leerpunten – om het ecosysteem beter te leren kennen en de ontwikkelingen te kunnen volgen 

 

Het Bedrijf 

– korte introductie van een bedrijf in het ecosysteem: waar houdt het zich mee bezig? Welke soort dienstverlening, bij welke klanten, met welke tools en technologie? (eventueel gevolgd door een uitgebreidere praktijkcasus vanuit dit bedrijf) (dit onderdeel vanwege de vraag hierom tijdens onze kickoff sessie)

 

Dit keer wordt  myBrand geïntroduceerd door Marcel Antons

 

Praktijk-casus

Presentatie van een architectuuruitdaging uit de actuele praktijk - van myBrand - Marcel Antons

 

Het Begrip

 – uitleg van een architectuurconcept of generieke technologie – we hanteren allerlei termen en jargon zonder er stil bij te staan of iedereen hetzelfde of zelfs enig idee heeft van wat ze betekenen. In de gilde-sessies bespreken we zo'n soort ""begrip"" om te komen tot gedeeld ""begrip"". We nodigen iedere keer een collega uit om haar/zijn favoriete begrip te introduceren.  In Teams bouwen we aan een glossary van al deze begrippen.  

 

Dit keer: 

Non Functional requirements

 

Architectuur Kata - Hands-On Architectuur Oefening

In kleine groepen aan de slag met een (fictieve?) architectuuruitdaging – samen oefenen met analyseren en brainstormen over een aanpak / oplossingsrichting. Daarna plenair richtingen en resultaten vergelijken.  ","architectuur,mybrand,non functional requirements,kata","Marcel Antons,Lucas Jellema",ecosysteem,Lucas Jellema - lucas.jellema@conclusion.nl,FALSE,Conclusion myBrand Maarssen,,via https://architectuur-gilde-juli-2023.conclusionevents.nl/,Conclusion,Architectuur Gilde,IT architecten en collega's met interesse in architectuur,,nl,,17:00,20:30
Nieuwste ontwikkelingen op het vlak van Stable Diffusion,18-07-23,18.00-19.00,"Op dinsdag 18 juli van 18u tot 19u geef ik een presentatie en workshop bij AMIS in Nieuwegein over de nieuwste ontwikkelingen op het vlak van Stable Diffusion, een open source generatief model gericht op het maken en bewerken van afbeeldingen. De presentatie/workshop kan ook online via Teams gevolgd worden. Ik zal de link nog delen. Naast een korte algemene intro zal ik ControlNet en SDXL demonstreren waarna mensen ook zelf aan de gang kunnen hiermee. Het is vooral gericht op recente ontwikkelingen en laten zien wat er nu mogelijk is.","stable diffusion,generative ai,image generation,controlnet,sdxl,handson",Maarten Smeets,ecosysteem,Maarten Smeets - maarten.smeets@amis.nl,TRUE,Conclusion Nieuwegein,,mail naar Maarten,AMIS,,,,nl,opname: https://conclusionfutureit-my.sharepoint.com/:v:/g/personal/maarten_smeets_amis_nl/EdHRSxO1SrpNoBS7L6a4WF8BWdCvGtBPyIHb-t1bFuCmAw,18:00,19:00
First8 Academy over Artifical Intelligence,13-07-23,17.00-19.00,"een maandelijks kennisevent deze keer in het kader van AI. Ted (""Ted Talk""), Michiel, Annemieke en Suman presenteerden over Turing Test, Machine Learning, Deep Learning, Midjourney, ChatGPT, Ethics en Regulations (EU AI Act), ""Pale Male data"" (en bias), AI en impact op banen en GitHub CoPilot voor pAIr programming.","ai,chatgpt,ethiek,midjourney,image generation,machine learning,github copilot,deep learning","Ted Vinke,Suman,Michiel,Annemieke",ecosysteem,Linda Elbersen,FALSE,Conclusion First8 Nijmegen,,mail naar Linda,First8,First8 Academy,,,nl,,17:00,19:00
Kennissessie Klok en Klepel van het Klimaat ,29-06-23,17.00-20.30,Wil je weten hoe CO2 de aarde warmer maakt? En wat voor consequenties dat heeft? Wat we kunnen doen om klimaatverandering af te remmen en om ons voor te bereiden op de veranderingen die onvermijdelijk zijn? Deze bijzondere kennissessie legt uit hoe het nu eigenlijk echt zit. ,"klimaat,adaptatie,mitigatie,co2,zon,sustainable",Michiel Schaeffer,publiek,Lucas Jellema - lucas.jellema@conclusion.nl,FALSE,Conclusion Utrecht,,Aanmelden https://klimaat-kennis-29juni.conclusionevents.nl/,Conclusion,Klimaat Café,,,nl,,17:00,20:30
Unlocking Security: De Kracht van Open Source Compliancy tooling,29-06-23,17.30-20.30,"Ontdek de kracht van Open Source compliancy-tooling tijdens deze meetup op 29 juni. Tom Carrion Christoffels, Infra architect en Security expert, actief binnen het 'naval domain', neemt je mee in de dagelijkse realiteit van beveiliging binnen een grote speler in het maritieme domein.

Leer hoe je beveiligingsframeworks zoals NIS, NIS 2 en CIS vertaalt naar concrete instellingen en hoe je deze effectief kunt implementeren met behulp van OpenSCAP en Compliance as Code.

Daarnaast is Tom ook geïnteresseerd in hoe deelnemers zelf security frameworks implementeren in andere sectoren, zoals de bancaire sector.

Kortom, als je geïnteresseerd bent in hoe je beleid binnen een sterk beveiligde militaire omgeving vertaalt naar concrete acties, dan is deze sessie iets voor jou!

Agenda
17.30 - 18.00 uur Inloop
18.00 - 18.30 uur Eten
18.30 - 20.30 uur Sessie: Unlocking Security","Linux,Security,Industry,Open Source,Risk,Governance and Compliance",Sven Kooiman,publiek,Sven Kooiman,FALSE,Conclusion Nieuwegein,,via MeetUp https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fclicks.meetup.com%2Fls%2Fclick%3Fupn%3DXbaZ37larFA-2FuV5MohrYpdrra25MtI4CzodbRR1Rd1l8fay96nTJxDagZwbCloAMZOkncyFfE9vCmtOjNlKBfCUAA6-2FMXaU2Q-2BaQv4QaNAfPfDsnzOLFyRafRuchhm6wCdLO4VeJn5IKfpuMzD-2BkVGEybGsVqg38uhGJ4mU3ix4GWQ6owAAOjCfIr8ewbw7Q-2FnfONbwBtIfpIjnzXkSsRSjcNM73ubdUd-2B33UIW7nf1w70Juz69PKqPiU1KHAURi0umDPrnmbojQld79pDkLCA-3D-3D76oU_GR6PkGbc3p0ZY7wiL8wQaqmFH5kSlKT61F3nG8tKyZ7O-2Bo-2FwQQbFZxf4jAM-2FHY-2FmWb1ZY-2BcP9k96dZMm2WtR9ZYEdK97gevVyPaE8onCQ-2BsEiIN7aEVE19V-2BAChKC-2FHGC0bD5ngJ7rwWmX4y5kZYU0d4ZIWhUbdHkVe-2Bd176fzlpXTEJzNepWKFqNIp0vGpv71Qw9Oj7QRN2HFbgaFGfkiaPr2hCl1N-2FKs1bcyTe95Y0rPRBWHxxzpk3bZ-2Fpo4OJjuhyKXns7mGBFVdIYH7kVwErUrjowUjZJixLFjpmLQ0d7Tfudv4NAV5AjGTxrZgMe-2Fg6LWnB5iWTHkvtDazIAoM6hAP3qlcqRNYEYK2UyQZmofPHQDBWy7w3ia5Cvy1oG3vHAWrGbobM97tLTcmdkgQLddOSLHu2WqhuGyZ7iJp4k1cpPLqUXg-2BGeXU6k7Rg8BfWypK6c2ckOu3HBvyKparTNZ9P0jAy-2FJvwcy2Si22AXYMYf9eDMrktMwwLpFwNyq58gUTPlKFcduGzjwKi0NBfm2s69JTlFTD3gX-2BZ-2Bfph-2F76VTaf5t5FObLqMAyrnZl4RH9xofibdm9fBRpepH9MB7AuOQN1R2n-2BBLe248Uj-2FmM07o-2FYkG-2Byx0Zr3Zy5Cfr-2FQiKLH5itTtU7xuZh6cntGGcHBTg-2FSsfDxW-2BKsNNnSIBcVdgIQGHNzzWn0BvbYkW67ejIVmusgpKeoAYbBVM-2FRXikN4jyAYO5Fyvo65aQ-3D&data=05%7C01%7Clucas.jellema%40amis.nl%7C014b0a8d921d44ba7c9008db6588a879%7C21429da9e4ad45f99a6fcd126a64274b%7C0%7C0%7C638215409859511070%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=4%2FcfaykIV25a3qmQRdwdCJlzIuQjxB%2FbeocKMt6mtlg%3D&reserved=0,Xforce,Xforce Kennissessies,,,nl,,17:30,20:30
Red Hat Summit '23 Recap: Ontdek de Toekomst van Open Source,12-06-23,17.30-20.30,"Bereid je voor op een roodgekleurde kennissessie! We brengen je namelijk het laatste nieuws van Red Hat Summit 2023 en er is één highlight die je absoluut niet wilt missen: Ansible Event Driven automation!

Ansible Event Driven automation opent deuren naar een wereld waarin IT-beheer een fluitje van een cent wordt. Met Ansible's flexibiliteit en de mogelijkheid om taken en processen te automatiseren op basis van events, zul je versteld staan van de mogelijkheden die dit met zich meebrengt. Ook worden verschillende andere nieuwtjes waaronder AI (Project Wisdom) en OpenShift (Skupper, Submarine, Hosted Control Plane) gedeeld.

Of je nu een ervaren infra architect bent die op zoek is naar de nieuwste technologieën, of een engineer die zijn toolkit wil uitbreiden, deze kennissessie is voor jou. Onze sprekers, Henk den Hartog, Arjan Braam, Allard Berends, Michel van der Wolf en Jorgen van der Meulen, delen de nieuwste inzichten, praktijkvoorbeelden en best practices getoond op de Red Hat Summit!

Agenda
17.30 - 18.00 uur Inloop
18.00 - 18.30 uur Eten
18.30 - 20.30 uur Sessie: Red Hat Summit '23 Recap","Linux,Red Hat,Open Source,OpenShift,Ansible",Sven Kooiman,publiek,Sven Kooiman,FALSE,Conclusion Nieuwegein,,via MeetUp https://eur03.safelinks.protection.outlook.com/?url=http%3A%2F%2Fclicks.meetup.com%2Fls%2Fclick%3Fupn%3DXbaZ37larFA-2FuV5MohrYpdrra25MtI4CzodbRR1Rd1l8fay96nTJxDagZwbCloAMy-2Fg5NhZzJe5G9tGAMXYFp5Qdz5yM2uJbEWbwO7TcasMF8Gt8t-2BTtzXPMKVfMERB5jRTXXHROzThTMWf9Thj-2Fjr-2BHnte90hA2xNfzasOkcsIWeIwBxumvcSelCj1VKqrZCzjgl6xFZnA-2F-2FXAeJrWrHB-2ButGNeaPanBwfhrGPM5LcpsS2tKFEvianCH4R-2BtO9zAOl3DztRlJWtpiUXzkdcOQ-3D-3DY3NN_GR6PkGbc3p0ZY7wiL8wQaqmFH5kSlKT61F3nG8tKyZ7O-2Bo-2FwQQbFZxf4jAM-2FHY-2FmWb1ZY-2BcP9k96dZMm2WtR9YXyEBmZTf5OG-2Fde-2FU6T-2BCKKpPrqJBLi4oKbgd9kdvEV11qIDAKLCQdR9Kw-2B4nSewLvNkuFhM1P-2Bt764MqbAO9avVqq4EmJ-2F6bvNPkHq11sVvJmP3qIFA7bQBXLhknnt0gioMcJnlglvp9pNEOBLCrSb6pwWepFt3-2BAR3-2FeUd0swHdNHcAq3A3Z3QxF5IBYZbZpGDWBG5sVaK8Q8BsfxQ4N3qVGzKe5aEXu-2FUcfFrAvny1pDe0emKtHbG5spxpEvXb1rgwwftoyls3XA0PqEWcYpBao06Qi5-2F0xUNrBp75DVfni3tkcyC6HrEhG0A280kkpbrxf3khgYUaU-2FtRwTkj-2FkX240UEYkRDXRcd0ZGOIzgPg8pKhBpBNE2LbKgRumhgaebBtj-2BASNwGhacaI-2Bwt-2FgWuNGFpyJHsAjyvN8t4V4xLTHS-2FRzKWYiU7hfu6ScvkhG-2FmMejsvhV572sNlF4p5bctlQfUVZlLZ3JOLuSvOMcl6FPViFCResoG5vXJ1VFKuFHKS27d4HulFMT8nd7TcRIaGPhIzAD6OuoqFhJvn2p3jnxF7ZGPrcO32x7CCFvT-2FDuH6TYMSJEoi6HpuhMcfQcGed76KWS7tZ20btU4CxsQ4u7sP4oHOQvIpn3FFCZsGQNiRhpySZXS-2FY6VTtuiQ-3D&data=05%7C01%7Clucas.jellema%40amis.nl%7Cf67dfb8e73864f58d8cf08db5dd408e9%7C21429da9e4ad45f99a6fcd126a64274b%7C0%7C0%7C638206937508672488%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=T%2FvoNm4jlLmC1tJoAmWu0SlCBMkhbTIqqUT6OWz42Sw%3D&reserved=0,Xforce,Xforce Kennissessies,,,nl,De slides van de Summit Recap staan hier: https://gitlab.com/conclusionxforce/kennissessies/-/blob/master/Red%20Hat%20Summit%20'23%20Recap,17:30,20:30
"Code Café - Vicuna, Platys, Speech2Text,Home Automation",30-05-23,17.00-20.30,"Agenda  

Vicuna: An Open-Source Chatbot with 90% ChatGPT Quality - Maarten Smeets – 30 minuten 

Platys – tool for generating zero install Modern Data Platform environments– Lucas Jellema 20 minuten 

diner 

Open source real time speech to text applicaties met Pytorch – Gabriel & Nick – 20-30 minuten 

Home Automation + Data Science = Inzicht – Roel Gloudemans 45-60 minuten 

 

Onderwerpen 

Vicuna: An Open-Source Chatbot with 90% ChatGPT Quality (@Maarten Smeets) 

 
Vicuna is an open-source chatbot trained by fine-tuning LLaMA (Large Language Model Meta AI) on user-shared conversations collected from ShareGPT. Preliminary evaluation using GPT-4 as a judge shows Vicuna achieves more than 90% quality of OpenAI ChatGPT and Google Bard while outperforming other models like LLaMA and Stanford Alpaca in more than 90% of cases. What makes this model special? The cost of training Vicuna is around $300 and it is available publicly for non-commercial use. It can run locally on consumer hardware without the need to depend on commercial services. It has a simple installer and UI available. I will demonstrate the model and show you how it works and what it can do for you! 

 

Platys - tool for generating zero install Modern Data Platform environments 

Stel je wilt gaan experimenteren, onderzoeken of een PoV of PoC gaan bouwen of een workshop aanbieden met data platform-componenten zoals een data store (relational, NoSQL, Graph, Search, Document, Cache, Time Series), event broker, data lake, data integrations, machine learning, data analytics engines, BI and data visualization tools. Het bij elkaar zoeken van de componenten, het doorgronden van de installatie en configuratie en het op elkaar aanpassen zodat de omgeving samenhangend functioneert is best een klus. Platys maakt het mogelijk om in een simpele configuratiefile aan te geven welke platformcomponenten je in je jouw omgeving wilt hebben. Een simpele generator produceert op basis daarvan een docker-compose file. Als je die file start, resulteert dat in de omgeving die je voor ogen hebt.  

 

Ik laat je zien hoe in een Gitpod workspace (de gratis, ephemeral cloud based development environment) met Platys in no time complexe en simpele omgevingen met uiteenlopende onderdelen zoals Kafka, MySQL, Trino, NocoDB, Nifi, Camunda, Redis, Airflow, Superset, Jupyter, Loki, Prometheus, Grafana zijn te definiëren en te starten.  Zie Platys en Platys in Gitpod. 

 

 

Open source real time speech to text applicaties met Pytorch – Gabriel & Shruti 

Ontdek de mogelijkheden van open source AI-libraries voor het doorbreken van taal- en communicatiebarrières. Laat je inspireren en informeren door de laatste innovaties in meertalige, real-time spraak-naar-tekst transformatie, aangedreven door toonaangevende open-source oplossingen zoals Pytorch en GGML-compilatie voor optimale prestaties.  

 

Voor het whisper model met ggml zou je kunnen kijken op: 

https://github.com/ggerganov/whisper.cpp 

  

Hier staat ook een readme in hoe je de modellen kan draaien op de eigen computer.  

  

Op huggingface staat het originele model: 

https://huggingface.co/openai/whisper-large-v2 

 

 
 
 

Home Automation + Data Science = Inzicht – Roel Gloudemans 

 In de nabije toekomst moet Conclusion gaan rapporteren hoeveel gram CO2 we uitstoten per euro omzet. Conclusion is bovenal een mensenbedrijf. Dat houdt in dat het doen en laten van de medewerkers een zeer relevante component is in de uitstoot. We weten hoeveel energie we in onze kantoren gebruiken. We weten hoeveel brandstof en kWh er in het wagenpark omgaat. Zelfs voor de mensen die privé rijden kunnen we aan de hand van gedeclareerde kilometers inschatten wat uit uitstoot is. 

Wat we niet weten is welke uitstoot de thuiswerkplek met zich meebrengt. Eigenlijk hebben we er nog niet eens over nagedacht wat er wel en niet meegerekend dient te worden. Zoals met ieder probleem wordt er inzichtelijker als er data is. Nu heeft Conclusion een Home Automation community op Yammer, zijn we los op IoT en Data Science. Alle elementen voor een oplossing! 

Hoe kunnen we genoeg data verzamelen om tot een goed rekenmodel te komen en wat is dat rekenmodel dan? Dit en een “call for help” zijn onderdelen van deze presentatie. Ben je helemaal los op home automation of data science? Dan zijn we op zoek naar jou. 

 ","platys,generative ai,ai,vicuna,docker compose,docker,speech2text,python,pytorch,whisper,home automation","Maarten Smeets, Lucas Jellema, Shutri Agrawal,Gabriel Ybeles Smit, Roel Gloudemans",ecosysteem,Lucas Jellema - lucas.jellema@conclusion.nl,TRUE,Conclusion Nieuwegein,,via Outlook of mail naar Lucas,Conclusion,Code Café,,,nl,"Opname deel1  (Vicuna & Platys): https://conclusionfutureit.sharepoint.com/:v:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/Opnamen%20Code%20Caf%C3%A9/20230530-%20deel%201-Vicuna%20-%20Open%20Source%20ChatGPT,%20Data%20Platform%20generatie%20met%20Platys.mp4?csf=1&web=1&e=5o3BaZ

Slides Vicuna: https://conclusionfutureit.sharepoint.com/:p:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/20230530-Vicuna-MaartenSmeets.pptx?d=w0a2526ef2dcf4dbebd953c8532950276&csf=1&web=1&e=AJbzHU
handson vicuna: Handson: GitHub - camenduru/text-generation-webui-colab: A colab gradio web UI for running Large Language Models  https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fgithub.com%2Fcamenduru%2Ftext-generation-webui-colab&data=05%7C01%7CLucas.Jellema%40conclusion.nl%7Ce05763312ffc46073ab808db5d2c0704%7C21429da9e4ad45f99a6fcd126a64274b%7C0%7C0%7C638206215911127019%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=RbsQoDXVVhVAgOlXHF9%2BTCu3ddLTMcIbVj0xvSgAGpE%3D&reserved=0
Slides Platys : https://conclusionfutureit.sharepoint.com/:p:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/20230530-Vicuna-MaartenSmeets.pptx?d=w0a2526ef2dcf4dbebd953c8532950276&csf=1&web=1&e=AJbzHU

Opname deel 2 (Speech2Text & Home Automation):  https://conclusionfutureit.sharepoint.com/:v:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/Opnamen%20Code%20Caf%C3%A9/20230530-%20deel%202%20-%20Speech2Text%20%26%20Home%20Automation%20for%20measuring%20energy%20usage%20thuiswerkplek.mp4?csf=1&web=1&e=YZdoFJ

Slides Speech2Text: https://conclusionfutureit.sharepoint.com/:p:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/20230530-Speech2Text-Gabriel-en-Shruti.pptx?d=wdf817b34937944ccbef3288a59aa093b&csf=1&web=1&e=t2DjaO
Handson: 
Voor het whisper model met ggml zou je kunnen kijken op: https://github.com/ggerganov/whisper.cpp 

Hier staat ook een readme in hoe je de modellen kan draaien op de eigen computer. Op huggingface staat het originele model: https://huggingface.co/openai/whisper-large-v2 

Slides Home Automation: https://conclusionfutureit.sharepoint.com/:p:/r/sites/CS-Conclusion-Conclusion-Code-Caf/Gedeelde%20documenten/General/20230530-HomeAutomation-CO2uitstoot-thuiswerkplek-Roel_Gloudemans.pptx?d=w9c9563d1593848d78ba909863065e477&csf=1&web=1&e=5JADuf 
 ",17:00,20:30
Microsoft Inspire 2023,18-07-23,17.30-23.00,"185 sessions 

Unlock all the event has to offer, including keynotes and discussions led by Microsoft senior leaders on generative AI and other trending topics, dedicated time to connect with experts and your community, and solutions to help you take your business to the next level.

","microsoft,inspire,ai,copilot,azure,cloud,dynamics365,office365","Satya Nadella,Judson Althoff,Bill Borden,Nicole Dezen & many dozens more",Iedereen (publiek toegankelijk),georganiseerd door Microsoft,Online (digitaal),,https://inspire.microsoft.com/en-US/home,aanmelden via event website https://register.inspire.microsoft.com/,Microsoft,Microsoft Inspire,,,Engels,Ondemand sessions op: https://inspire.microsoft.com/en-US/home,17:30,23:00
Kijkje in de KWD keuken,28-06-23,16:00: 2000,"Projectmanagement onderwerpen voor potentiele projectmanagers en andere projectprofessionals
Eens per kwartaal. 
Nieuwe datums zal ik melden","Kijkje je de keuken, projectmanagement, agilemanagement, stakeholdermanagement, projectpolitiek",KWD ervaringsdeskundingen,Iedereen (publiek toegankelijk),Remmelt van der Wal,Fysiek,Edisonbaan 15,https://www.kwdrm.nl/onze-kennis/kijkje-in-de-keuken-van-kwd/,https://www.kwdrm.nl/onze-kennis/kijkje-in-de-keuken-van-kwd/,KWD Resultaatmanagement,Kijkje in de keuken,Projectmanagement professionals ,,Nederlands,,16:00,20:00
Splunk for Devops Engineers: All You Need to Know,25-05-23,17.30-20.30,"Ben jij een DevOps Engineer, Linux Engineer, Platform Engineer of weet je überhaupt niet wat je met al je logging en metrics aan moet? Dan is deze sessie voor jou! Coen Meerbeek, Splunk Nerd en Observability Guru, neemt je mee in de basis Splunk Componenten zoals Heavy Forwarders, Universal Forwarders en HEC. Ook legt hij uit hoe je Data in Splunk onboard en daadwerkelijk gebruikt met Splunk Search. Als kers op de taart, ga je nog aan de slag met een korte lab die je thuis verder af kan maken.

Kortom de sessie is voor iedereen die zoveel mogelijk uit zijn logging en metrics wil halen met behulp van Splunk, maar alleen nog niet weet hoe.

Benodigheden
- laptop

Agenda
17.30 - 18.00 uur Inloop
18.00 - 18.30 uur Eten
18.30 - 20.30 uur Splunk for Devops Engineers","Linux,Cloud Computing,DevOps,Splunk,Observability","Coen Meerbeek, Splunk Nerd en Observability Guru",Iedereen (publiek toegankelijk),Sven Kooiman,Fysiek,Conclusion Xforce Edisonbaan 15 · Nieuwegein,,via Meetup: https://www.meetup.com/xforce-kennissessies/events/293147491/,Conclusion Xforce,Xforce Kennissessies ,"DevOps Engineer, Linux Engineer, Platform Engineer of weet je überhaupt niet wat je met al je logging en metrics aan moet",laptop meenemen,Nederlands,,17:30,20:30
